Stock Name,Stock Code,Date,Open,Close,High,Low,Volume,Turnover,Amplitude,Change Percent,Change Amount,Turnover Rate
贵州茅台,600519,2002-11-01,-160.27,-160.24,-160.23,-160.3,1471,3830309.0,-0.04,0.02,0.03,0.19
贵州茅台,600519,2002-11-04,-160.24,-160.14,-160.14,-160.24,1995,5271415.0,-0.06,0.06,0.1,0.25
贵州茅台,600519,2002-11-05,-160.13,-160.09,-160.03,-160.18,3485,9402742.0,-0.09,0.03,0.05,0.44
贵州茅台,600519,2002-11-06,-160.08,-160.13,-160.07,-160.13,1623,4344756.0,-0.04,-0.02,-0.04,0.21
贵州茅台,600519,2002-11-07,-160.12,-160.15,-160.1,-160.17,2417,6446131.0,-0.04,-0.01,-0.02,0.31
贵州茅台,600519,2002-11-08,-160.03,-160.27,-160.03,-160.3,2718,7151816.0,-0.17,-0.07,-0.12,0.35
贵州茅台,600519,2002-11-11,-160.26,-160.29,-160.21,-160.33,1883,4915876.0,-0.07,-0.01,-0.02,0.24
贵州茅台,600519,2002-11-12,-160.28,-160.33,-160.23,-160.34,2396,6207445.0,-0.07,-0.02,-0.04,0.3
贵州茅台,600519,2002-11-13,-160.34,-160.29,-160.29,-160.36,1954,5035473.0,-0.04,0.02,0.04,0.25
贵州茅台,600519,2002-11-14,-160.29,-160.33,-160.26,-160.33,1688,4380220.0,-0.04,-0.02,-0.04,0.21
贵州茅台,600519,2002-11-15,-160.33,-160.33,-160.28,-160.36,2349,6065973.0,-0.05,0.0,0.0,0.3
贵州茅台,600519,2002-11-18,-160.33,-160.29,-160.27,-160.33,1947,5049727.0,-0.04,0.02,0.04,0.25
贵州茅台,600519,2002-11-19,-160.29,-160.19,-160.17,-160.31,3218,8450560.0,-0.09,0.06,0.1,0.41
贵州茅台,600519,2002-11-20,-160.18,-160.21,-160.13,-160.31,9579,25196773.0,-0.11,-0.01,-0.02,1.22
贵州茅台,600519,2002-11-21,-160.24,-160.32,-160.2,-160.32,4020,10494850.0,-0.07,-0.07,-0.11,0.51
贵州茅台,600519,2002-11-22,-160.29,-160.31,-160.23,-160.38,2429,6292793.0,-0.09,0.01,0.01,0.31
贵州茅台,600519,2002-11-25,-160.31,-160.25,-160.23,-160.38,3988,10418495.0,-0.09,0.04,0.06,0.51
贵州茅台,600519,2002-11-26,-160.22,-160.35,-160.2,-160.35,2055,5354392.0,-0.09,-0.06,-0.1,0.26
贵州茅台,600519,2002-11-27,-160.38,-160.37,-160.29,-160.41,3321,8506108.0,-0.07,-0.01,-0.02,0.42
贵州茅台,600519,2002-11-28,-160.36,-160.23,-160.2,-160.37,2492,6508407.0,-0.11,0.09,0.14,0.32
贵州茅台,600519,2002-12-02,-160.18,-160.29,-160.13,-160.31,5851,15455370.0,-0.11,-0.04,-0.06,0.74
贵州茅台,600519,2002-12-03,-160.31,-160.2,-160.2,-160.35,3104,8113029.0,-0.09,0.06,0.09,0.39
贵州茅台,600519,2002-12-04,-160.27,-160.19,-160.11,-160.27,4151,11045716.0,-0.1,0.01,0.01,0.53
贵州茅台,600519,2002-12-05,-160.2,-160.05,-159.99,-160.22,13020,35246694.0,-0.14,0.09,0.14,1.66
贵州茅台,600519,2002-12-06,-160.07,-160.07,-160.03,-160.11,3742,10116516.0,-0.05,-0.01,-0.02,0.48
贵州茅台,600519,2002-12-09,-160.07,-160.12,-160.05,-160.13,2903,7793264.0,-0.05,-0.03,-0.05,0.37
贵州茅台,600519,2002-12-10,-160.11,-160.19,-160.09,-160.2,2612,6946196.0,-0.07,-0.04,-0.07,0.33
贵州茅台,600519,2002-12-11,-160.21,-160.22,-160.19,-160.27,2547,6682742.0,-0.05,-0.02,-0.03,0.32
贵州茅台,600519,2002-12-12,-160.22,-160.16,-160.16,-160.26,3989,10541432.0,-0.06,0.04,0.06,0.51
贵州茅台,600519,2002-12-13,-160.33,-160.18,-160.13,-160.33,2223,5860451.0,-0.12,-0.01,-0.02,0.28
贵州茅台,600519,2002-12-16,-160.18,-160.09,-160.07,-160.21,7977,21310704.0,-0.09,0.06,0.09,1.01
